stu_code,spr_code,stu_gend,Disability,scj_crsc,scj_moac,stu_hqlc,Age,Class,spr_levc,Tariff,Yr1Mark,FinalMark,MitClaims,StuSup
1500711,1500711/1,M,No,BSCSPEX,FT,HUK,21,4,L6,300,58.63,60.2,0,0
1500714,1500714/1,M,No,BASPDEVCO,FT,P50,21,2,L6,280,61.88,64.18,0,0
1500716,1500716/1,F,No,BSCSPTH,FT,P42,21,2,L6,260,66.5,69.83,0,13
1500718,1500718/1,F,No,BAAAH,FT,P50,21,3,L6,400,67.21,73.3,0,0
1500720,1500720/1,M,Yes,BAAAH,FT,P50,21,2,L6,217,51.63,56.4,0,24
1500721,1500721/1,F,No,BSCPSYCH,FT,P50,21,1,L6,240,64.88,62.55,0,0
1500729,1500729/1,M,No,BAPESEC,FT,Q80,21,4,L6,430,51.25,51.95,0,0
1500743,1500743/1,F,No,BAAAH,FT,P50,20,1,L6,280,57.5,64.4,0,0
1500764,1500764/1,M,No,BAAAH,FT,P50,21,2,L6,360,70.63,71.53,0,0
1500766,1500766/1,F,No,BSCPSYCH,FT,P50,21,1,L6,260,69.88,72.05,0,0
1500776,1500776/1,M,No,BAEDUC,FT,P41,21,4,L6,240,51,48,0,0
1500798,1500798/1,F,No,BAAAH,FT,P42,21,1,L6,470,60.13,61.13,0,3
1500803,1500803/1,M,No,BAAAH,FT,P41,20,2,L6,360,60.58,59.53,0,3
1500821,1500821/1,F,No,BAAAH,FT,P50,21,1,L6,500,61.04,69.8,0,7
1500826,1500826/1,F,No,BAAAH,FT,Q80,21,6,L6,420,59,66.18,0,2
1500827,1500827/1,M,No,BAAAH,FT,HUK,21,2,L6,240,66.63,69,0,0
1500833,1500833/1,F,No,BSCPSYCH,FT,P50,20,3,L6,220,55.38,65.08,0,0
1500872,1500872/1,F,No,BAAAH,FT,P50,20,1,L6,330,62.25,66.38,0,0
1500885,1500885/1,M,No,BAAAH,FT,P41,22,3,L6,380,69.63,68.68,0,0
1500892,1500892/1,F,No,BAAAH,FT,X04,23,9,L6,,64.5,70.08,0,3
1500907,1500907/1,M,Yes,BAAAH,FT,P50,21,9,L6,260,60.5,60.55,0,44
1500908,1500908/1,F,No,BABM,FT,P50,21,1,L6,470,73.5,83.65,0,9
1500920,1500920/1,F,No,BAAAH,FT,P50,21,2,L6,215,67.13,57.2,0,0
1500924,1500924/1,F,No,BAAAH,FT,P50,21,3,L6,160,60.13,59.63,1,15
1500926,1500926/1,F,No,BAAAH,FT,HUK,21,2,L6,220,63.38,66.13,0,5
1500933,1500933/1,F,No,BAPESEC,FT,P50,20,6,L6,360,53.13,55.03,0,1
1500934,1500934/1,F,No,BAAAH,FT,P42,21,5,L6,560,62.38,63.45,0,1
1500937,1500937/1,M,No,BSCFCPERF,FT,P50,21,2,L6,220,58.75,56.9,0,1
1500950,1500950/1,M,No,BAAAH,FT,P41,22,3,L6,400,69.33,72.4,0,1
1500964,1500964/1,F,Yes,BASPBUSMAN,FT,P41,22,2,L6,420,59.38,63.15,0,20
1500978,1500978/1,F,Yes,BAAAH,FT,P50,21,2,L6,340,73.04,73.9,0,13
1500983,1500983/1,F,No,BAAAH,FT,P50,21,1,L6,270,59.5,64.53,0,10
1500991,1500991/1,F,Yes,BAPESC,FT,MUK,21,9,L6,310,75,75.78,0,102
1500995,1500995/1,F,No,BAAAH,FT,Q80,20,6,L6,400,59.88,66.85,0,5
1501003,1501003/1,M,No,BAAAH,FT,P50,20,3,L6,440,68.63,65.78,0,0
1501014,1501014/1,F,No,BAAAH,FT,P41,21,1,L6,465,62,63.85,0,0
1501018,1501018/1,M,No,BABM,FT,P50,20,1,L6,180,65.88,63.05,0,0
1501023,1501023/1,M,No,BAAAH,FT,P50,21,1,L6,275,52,54.48,0,0
1501031,1501031/1,M,No,BAAAH,FT,P50,20,4,L6,240,60.5,68.83,0,1
1501039,1501039/1,F,No,BAAAH,FT,P50,21,2,L6,340,59.13,62.68,0,4
1501043,1501043/1,F,No,BAPESEC,FT,P42,21,3,L6,450,58.75,62.83,0,0
1501089,1501089/1,F,No,BAAAH,FT,P50,21,9,L6,360,59.75,64.28,0,1
1501097,1501097/1,F,No,BAAAH,FT,P42,21,2,L6,200,65.13,66.08,0,0
1501111,1501111/1,F,No,BAAAH,FT,P41,21,2,L6,320,57.25,61.68,1,2
1501113,1501113/1,F,No,BAAAH,FT,P50,21,2,L6,375,66.5,67.83,0,2
1501115,1501115/1,M,No,BSCSPTH,FT,P50,21,1,L6,230,49.38,54.85,0,0
1501119,1501119/1,F,No,BAAAH,FT,Q80,20,2,L6,460,53.13,63.45,0,3
1501121,1501121/1,F,No,BAAAH,FT,P50,21,9,L6,220,71.75,71.1,0,0
1501125,1501125/1,F,No,BAAAH,FT,Q80,21,7,L6,420,69,65.95,0,1
1501134,1501134/1,F,No,BABM,FT,P50,21,2,L6,250,63.25,62.53,0,0
1501137,1501137/1,M,No,BAPESEC,FT,HUK,21,2,L6,250,67.88,71.68,0,1
1501138,1501138/1,F,Yes,BAAAH,FT,Q80,21,2,L6,420,51.63,63.3,0,26
1501139,1501139/1,F,No,BAAAH,FT,P50,21,7,L6,310,66.25,64.78,0,5
1501145,1501145/1,M,No,BAAAH,FT,HUK,21,2,L6,190,58.25,56.98,0,4
1501151,1501151/1,F,No,BAAAH,FT,P50,21,9,L6,330,51.25,57.3,0,8
1501154,1501154/1,F,No,BAPESEC,FT,P50,21,1,L6,233,67.25,69.65,0,1
1501155,1501155/1,F,No,BAAAH,FT,Q80,20,2,L6,280,61.5,64.1,0,4
1501157,1501157/1,M,Yes,BAAAH,FT,P50,22,2,L6,220,64.88,62.28,0,53
1501172,1501172/1,F,No,BAAAH,FT,Q80,21,7,L6,240,57.75,67.88,1,37
1501195,1501195/1,F,No,BABM,FT,P50,21,2,L6,240,63.75,67.93,0,10
1501196,1501196/1,M,No,BSCFCPERF,FT,P50,21,1,L6,220,64,65.9,0,4
1501198,1501198/1,M,Yes,BAAAH,FT,P50,22,2,L6,200,61.88,61.03,0,7
1501208,1501208/1,M,No,BSCSPSCO,FT,HUK,21,2,L6,510,62.38,61.43,0,0
1501213,1501213/1,M,No,BSCSPEX,FT,P41,21,3,L6,360,56,58.83,0,0
1501237,1501237/1,F,No,BAPESEC,FT,HUK,21,9,L6,240,62.88,71.75,0,0
1501250,1501250/1,F,No,BAAAH,FT,P41,20,2,L6,400,66,66.25,0,22
1501251,1501251/1,M,No,BAAAH,FT,HUK,20,5,L6,310,64.63,65.63,0,4
1501266,1501266/1,M,No,BAAAH,FT,P50,21,2,L6,580,66.25,69.6,0,0
1501274,1501274/1,F,Yes,BAAAH,FT,P50,21,1,L6,300,67.13,67.88,0,5
1501287,1501287/1,F,No,BAAAH,FT,Q80,21,9,L6,240,68.75,63.45,0,0
1501289,1501289/1,F,No,BAAAH,FT,HUK,20,2,L6,370,63.88,67.13,0,11
1501294,1501294/1,F,No,BAAAH,FT,HUK,21,5,L6,260,64,66.95,0,0
1501300,1501300/1,M,No,BAAAH,FT,P50,28,7,L6,160,66.13,62.43,0,0
1501303,1501303/1,F,No,BAAAH,FT,P50,21,3,L6,320,67.15,65.25,0,2
1501330,1501330/1,F,No,BSCSPTH,FT,P50,21,2,L6,280,69.5,68.7,0,0
1501337,1501337/1,F,No,BAAAH,FT,Q80,21,5,L6,400,70.92,71.58,0,15
1501344,1501344/1,M,Yes,BSCFCPERF,FT,P50,20,1,L6,450,53.38,63.15,0,26
1501355,1501355/1,F,Yes,BAAAH,FT,Q80,21,4,L6,240,54.13,59.98,0,39
1501366,1501366/1,F,No,BAAAH,FT,P42,20,5,L6,420,57.63,61.68,0,3
1501385,1501385/1,F,No,BSCSPTH,FT,P50,21,2,L6,420,73,75.43,0,0
1501394,1501394/1,F,No,BACOMMU,FT,P42,21,6,L6,420,56,62.08,0,0
1501399,1501399/1,F,No,BAAAH,FT,P42,22,6,L6,380,60.92,73.3,0,15
1501409,1501409/1,F,No,BAAAH,FT,P42,21,1,L6,440,58,57.53,0,0
1501422,1501422/1,F,No,BAAAH,FT,P50,21,1,L6,435,64.38,63.75,0,1
1501430,1501430/1,F,Yes,BAAAH,FT,P93,21,1,L6,370,61.13,64.5,0,9
1501431,1501431/1,F,No,BAAAH,FT,P42,21,1,L6,380,63.5,62.28,0,5
1501434,1501434/1,M,No,BABM,FT,P50,21,9,L6,260,59.5,57.93,0,2
1501495,1501495/1,M,No,BAPESC,FT,HUK,21,9,L6,260,54.5,68.68,0,9
1501508,1501508/1,M,No,BSCSEPS,FT,HUK,22,4,L6,330,66.38,68.08,0,1
1501517,1501517/1,F,No,BAAAH,FT,P50,21,2,L6,400,68.88,72.75,0,2
1501522,1501522/1,F,No,BAAAH,FT,P50,21,2,L6,300,66.13,67.63,0,0
1501524,1501524/1,F,No,BAAAH,FT,P42,21,2,L6,335,64.25,68.65,0,0
1501530,1501530/1,M,No,BAAAH,FT,P50,22,1,L6,240,65.25,68.73,0,0
1501531,1501531/1,M,No,BABM,FT,P50,22,2,L6,240,65.25,58.85,0,0
1501538,1501538/1,F,No,BAAAH,FT,P42,21,2,L6,310,63.25,65.98,0,0
1501542,1501542/1,M,No,BSCSPEX,FT,HUK,22,1,L6,310,67.75,68.9,0,0
1501548,1501548/1,F,No,BAAAH,FT,P50,21,2,L6,400,67,70.65,0,1
1501550,1501550/1,M,Yes,BAAAH,FT,P50,22,1,L6,220,64.38,67.63,0,33
1501554,1501554/1,F,No,BAAAH,FT,P41,21,9,L6,440,63.88,66.28,0,0
1501555,1501555/1,F,No,BSCSPTH,FT,P50,20,1,L6,330,70.5,66.53,0,3
1501558,1501558/1,F,No,BAAAH,FT,P50,21,2,L6,345,70.55,68.85,0,1
1501568,1501568/1,M,No,BSCSPEX,FT,HUK,22,2,L6,220,68.13,58.85,1,11
1501592,1501592/1,F,No,BAAAH,FT,HUK,21,1,L6,350,67.13,69.25,0,2
1501604,1501604/1,F,No,BSCPOL,FT,P50,20,2,L6,280,56.25,54.53,0,0
1501620,1501620/1,M,No,BAAAH,FT,P50,21,3,L6,280,61.75,65.45,0,1
1501637,1501637/1,F,Yes,BAAAH,FT,P42,21,2,L6,280,57.38,58.48,0,67
1501643,1501643/1,M,No,BABM,FT,P50,21,6,L6,220,65.63,67.25,0,2
1501652,1501652/1,F,No,BAAAH,FT,P41,25,6,L6,280,57.75,57.53,1,9
1501653,1501653/1,F,No,BAAAH,FT,P93,20,6,L6,400,68.42,73.63,0,0
1501686,1501686/1,F,No,BAEDEC,FT,P41,22,6,L6,260,48.25,50.85,0,0
1501687,1501687/1,F,No,BSCSPEX,FT,P50,20,1,L6,200,66.5,67.63,0,1
1501705,1501705/1,M,No,BAPESC,FT,P50,21,9,L6,440,63.5,57.75,0,1
1501749,1501749/1,F,Yes,BAAAH,FT,P93,22,9,L6,,59.63,64.75,0,12
1501753,1501753/1,F,Yes,BAAAH,FT,P50,21,1,L6,300,63.38,68.25,0,14
1501754,1501754/1,F,No,BAAAH,FT,P50,22,4,L6,340,65.13,68.6,0,1
1501757,1501757/1,F,No,BSCPSYCH,FT,P50,22,2,L6,230,66.75,64.48,0,0
1501758,1501758/1,F,No,BACOMMU,FT,P50,21,7,L6,280,69.25,68.25,1,0
1501771,1501771/1,F,No,BAAAH,FT,P42,20,2,L6,270,61.25,68.28,0,2
1501777,1501777/1,F,No,BAAAH,FT,P50,21,2,L6,310,69.38,70.05,0,0
1501780,1501780/1,M,Yes,BSCSPSCO,FT,HUK,21,6,L6,190,61,61.2,0,14
1501781,1501781/1,F,No,BABM,FT,P50,21,7,L6,180,52.88,59.9,0,4
1501797,1501797/1,M,No,BSCSPEX,FT,HUK,21,3,L6,180,63.88,64.1,0,1
1501801,1501801/1,F,No,BAEDSENDS,FT,P50,21,2,L6,260,54,62.7,0,0
1501803,1501803/1,F,No,BAAAH,FT,HUK,21,3,L6,240,63.4,66.28,0,20
1501814,1501814/1,F,Yes,BAAAH,FT,P41,22,6,L6,480,64.75,66.38,1,179
1501817,1501817/1,F,No,BAAAH,FT,P50,21,2,L6,220,65.25,58.23,0,84
1501825,1501825/1,F,No,BAAAH,FT,Q80,21,4,L6,400,64,65.63,0,21
1501827,1501827/1,M,No,BAPESC,FT,P41,22,3,L6,260,51.5,52.43,1,0
1501856,1501856/1,F,No,BABM,FT,P50,22,6,L6,340,51,49.55,0,0
1501857,1501857/1,M,No,BACOMMU,FT,P41,21,2,L6,280,62.13,60.03,0,0
1501865,1501865/1,F,No,BAAAH,FT,P50,21,7,L6,365,68.25,65.2,1,0
1501870,1501870/1,F,No,BAAAH,FT,P50,20,2,L6,340,62.13,66.25,0,28
1501872,1501872/1,F,No,BAAAH,FT,HUK,21,2,L6,280,55.88,61.98,0,0
1501875,1501875/1,M,No,BAPESC,FT,P50,21,3,L6,370,54.88,68.18,0,0
1501877,1501877/1,F,No,BSCSEPS,FT,P41,20,6,L6,450,58.63,64.08,0,11
1501880,1501880/1,F,No,BAEDUC,FT,P50,21,2,L6,,,67.77,0,0
1501889,1501889/1,M,No,BSCFCPERF,FT,HUK,20,6,L6,220,56.25,55.8,0,0
1501901,1501901/1,F,No,BAAAH,FT,Q80,21,7,L6,420,54.5,61.2,0,25
1501908,1501908/1,M,No,BSCSPSCO,FT,,21,2,L6,160,48.5,54.38,0,0
1501929,1501929/1,F,No,BAAAH,FT,P42,21,5,L6,390,66.5,69.5,1,0
1501944,1501944/1,F,No,BAAAH,FT,P42,21,5,L6,310,61.38,62.15,1,17
1501958,1501958/1,M,No,BABM,FT,P50,21,2,L6,250,68.63,61.6,0,6
1501973,1501973/1,M,No,BAPESEC,FT,P50,21,3,L6,180,57.63,58.75,0,1
1501981,1501981/1,F,No,BAAAH,FT,P50,20,1,L6,320,71.13,69.55,0,1
1501995,1501995/1,F,No,BAEDSENDS,FT,HUK,21,1,L6,420,72.25,76.98,0,4
1502002,1502002/1,M,No,BAAAH,FT,HUK,22,3,L6,330,65.63,70.33,0,5
1502009,1502009/1,F,No,BAAAH,FT,P50,21,2,L6,370,64.13,68.2,0,0
1502020,1502020/2,F,No,BAAAH,FT,P50,21,9,L6,355,62.63,62.53,1,0
1502022,1502022/1,F,No,BAPEPRI,FT,P41,21,1,L6,430,57.88,53.23,1,0
1502049,1502049/1,M,No,BACOMMU,FT,Q80,21,1,L6,420,68.5,72.25,0,0
1502057,1502057/1,F,No,BABM,FT,P41,21,9,L6,420,68.75,72.95,0,12
1502073,1502073/1,F,No,BAAAH,FT,C90,21,2,L6,300,62.25,62.68,0,35
1502128,1502128/1,M,Yes,BAAAH,FT,P41,23,2,L6,160,50.63,48.35,1,105
1502141,1502141/1,F,No,BSCSPEX,FT,HUK,21,1,L6,320,56.38,59.58,0,0
1502153,1502153/1,M,No,BAAAH,FT,P50,20,1,L6,260,61.88,57.73,0,0
1502163,1502163/1,F,No,BAAAH,FT,P42,21,4,L6,450,63.63,64.78,0,0
1502171,1502171/1,F,No,BSCSEPS,FT,P50,20,2,L6,280,62.75,59.6,0,7
1502172,1502172/1,M,No,BSCMAML,FT,P50,20,2,L6,220,57.33,62.1,0,0
1502183,1502183/1,F,No,BAAAH,FT,HUK,21,2,L6,220,61.5,64.95,0,54
1502214,1502214/1,F,No,BAAAH,FT,P50,20,2,L6,180,51.63,62.68,0,21
1502218,1502218/1,F,No,BAAAH,FT,P41,22,3,L6,400,68.79,71.68,0,0
1502238,1502238/1,M,No,BSCFCPERF,FT,P50,21,4,L6,300,51,56.95,0,5
1502239,1502239/1,F,No,BAAAH,FT,P50,22,1,L6,385,66.38,65.98,0,32
1502248,1502248/1,M,No,BSCSPSCO,FT,HUK,20,2,L6,250,48.13,58.25,0,1
1502254,1502254/1,F,No,BAAAH,FT,P41,22,2,L6,610,53.38,54.25,0,27
1502262,1502262/1,F,No,BSCSPSCO,FT,P41,21,1,L6,240,50.5,55.25,1,47
1502264,1502264/1,F,No,BAAAH,FT,P50,21,2,L6,290,61.13,65.05,0,0
1502266,1502266/1,F,Yes,BASPDEVCO,FT,HUK,20,1,L6,350,52,58.23,1,2
1502272,1502272/1,F,No,BAAAH,FT,P93,21,1,L6,365,67.5,67.63,0,13
1502275,1502275/1,M,No,BAAAH,FT,HUK,21,9,L6,270,60.38,65.65,0,10
1502286,1502286/1,M,No,BAAAH,FT,P50,21,3,L6,270,65.25,65,1,0
1502294,1502294/1,F,No,BABM,FT,P50,22,3,L6,220,63.75,65.73,0,0
1502328,1502328/1,M,Yes,BASPST,FT,Q80,26,6,L6,,54.13,58.43,0,32
1502336,1502336/1,M,No,BSCFCPERF,FT,HUK,22,2,L6,620,48.63,54.95,0,0
1502338,1502338/1,M,No,BSCSPEX,FT,P41,22,3,L6,320,43,55.63,0,0
1502339,1502339/1,F,No,BAAAH,FT,P41,21,1,L6,160,52.88,59.88,0,2
1502344,1502344/1,M,No,BSCPSYCH,FT,P50,21,1,L6,350,62.63,60.6,0,3
1502352,1502352/1,M,No,BASPBUSMAN,FT,P50,21,4,L6,220,52.75,56.25,0,0
1502377,1502377/1,F,No,BAAAH,FT,P50,21,5,L6,307,60.25,61.53,0,13
1502386,1502386/1,F,No,BAAAH,FT,Q80,21,2,L6,380,66.04,67.3,0,0
1502396,1502396/1,F,No,BABM,FT,P50,20,3,L6,210,64,58.03,1,0
1502402,1502402/1,F,No,BAAAH,FT,P50,21,5,L6,230,61.13,62.93,0,27
1502414,1502414/1,M,No,BAPESC,FT,HUK,20,2,L6,330,71.13,72.65,0,0
1502418,1502418/1,F,Yes,BAEDSENDS,FT,P50,21,2,L6,360,50.63,58.48,0,28
1502424,1502424/1,F,No,BAAAH,FT,P50,21,2,L6,280,56.75,58.75,0,3
1502427,1502427/1,F,No,BAAAH,FT,P42,20,2,L6,460,62.38,66.48,0,0
1502436,1502436/1,F,No,BAAAH,FT,P50,21,6,L6,350,62.13,61.65,0,2
1502450,1502450/1,F,Yes,BAAAH,FT,Q80,21,3,L6,380,63,72.5,0,4
1502452,1502452/1,M,No,BSCSPTH,FT,P50,28,2,L6,,68.5,70.6,0,1
1502453,1502453/1,F,No,BAAAH,FT,Q80,21,3,L6,420,62.79,59.95,0,26
1502454,1502454/1,F,No,BAAAH,FT,P50,20,6,L6,370,57.63,56.68,0,35
1502455,1502455/1,F,No,BAAAH,FT,HUK,22,3,L6,340,54.38,58.9,1,10
1502460,1502460/1,M,No,BAPESEC,FT,HUK,21,4,L6,540,50.75,57.7,0,0
1502465,1502465/1,F,No,BAAAH,FT,Q80,21,1,L6,380,67.38,70.65,0,3
1502468,1502468/1,M,Yes,BAAAH,FT,P50,22,7,L6,260,61.88,57.88,0,19
1502475,1502475/1,F,Yes,BAAAH,FT,P50,21,5,L6,265,73.3,68.58,1,53
1502497,1502497/1,F,No,BABM,FT,P41,21,1,L6,320,64.13,59.75,0,0
1502498,1502498/2,M,No,BAPESEC,FT,P42,22,3,L6,430,69.13,63.23,0,0
1502500,1502500/1,F,Yes,BAPESEC,FT,P41,21,1,L6,450,56.75,55.5,2,45
1502502,1502502/1,F,No,BAPESEC,FT,Q80,21,6,L6,450,48.5,52.7,0,2
1502512,1502512/1,F,No,BACOMMU,FT,P42,21,9,L6,360,60,63.23,0,0
1502534,1502534/1,M,Yes,BAAAH,FT,P50,21,2,L6,220,63.5,67.28,0,55
1502551,1502551/1,F,No,BSCSEPS,FT,HUK,21,9,L6,260,56.75,62.38,1,15
1502581,1502581/1,F,No,BAAAH,FT,P50,21,2,L6,340,62.5,61.15,0,0
1502589,1502589/1,F,Yes,BAAAH,FT,P50,21,9,L6,350,63.5,62.68,2,24
1502622,1502622/1,F,No,BABM,FT,P50,21,4,L6,280,58.13,73.7,0,5
1502633,1502633/1,F,No,BAAAH,FT,P50,20,2,L6,250,59.25,65.08,1,1
1502639,1502639/1,F,Yes,BACOMMU,FT,Q80,21,2,L6,320,48.13,54.63,2,2
1502643,1502643/1,F,No,BAAAH,FT,HUK,20,4,L6,260,63.13,65.48,0,0
1502646,1502646/1,F,No,BAPESEC,FT,HUK,21,1,L6,300,60.5,67.78,0,1
1502672,1502672/1,F,No,BAAAH,FT,P50,21,4,L6,280,58.63,63,0,1
1502685,1502685/3,F,No,BSCSPTH,FT,Q80,21,3,L6,420,58.63,63.43,0,4
1502704,1502704/1,F,No,BSCSEPS,FT,P50,23,1,L6,200,64.25,64.28,1,36
1502705,1502705/1,F,No,BABM,FT,P50,22,2,L6,220,59.88,60.35,0,0
1502736,1502736/1,M,No,BAPESC,FT,HUK,21,9,L6,250,60.63,64.63,0,0
1502745,1502745/1,F,No,BAAAH,FT,P50,20,2,L6,360,50.5,57.35,0,0
1502750,1502750/1,M,No,BAAAH,FT,P50,22,6,L6,300,62.63,63.33,0,0
1502766,1502766/1,F,No,BSCSPEX,FT,P50,21,3,L6,410,69.75,67.25,0,3
1502771,1502771/1,F,Yes,BAAAH,FT,Q80,22,3,L6,200,57.88,62.85,2,0
1502775,1502775/1,F,No,BAAAH,FT,Q80,20,6,L6,240,61.63,61.6,0,4
1502776,1502776/1,F,Yes,BAAAH,FT,HUK,21,4,L6,240,55.25,55.75,1,6
1502784,1502784/1,F,No,BAAAH,FT,Q80,21,5,L6,320,46,57.25,0,0
1502787,1502787/1,M,No,BSCSEPS,FT,P50,24,1,L6,120,53.63,58.55,0,0
1502798,1502798/1,F,Yes,BAAAH,FT,P41,22,3,L6,360,70.55,70.8,0,47
1502804,1502804/1,M,No,BSCSEPS,FT,P50,21,2,L6,180,54.13,54,0,0
1502807,1502807/1,F,No,BAAAH,FT,Q80,21,2,L6,280,63.88,61.1,0,3
1502811,1502811/1,F,No,BAPESEC,FT,HUK,21,1,L6,330,62,57.88,0,0
1502820,1502820/1,F,No,BAEDEC,FT,P41,22,7,L6,500,53.63,61.33,1,25
1502836,1502836/1,F,No,BSCSPEX,FT,P42,21,9,L6,320,56.75,65.78,0,0
1502842,1502842/1,F,No,BAAAH,FT,P50,21,3,L6,410,61.13,65.53,0,0
1502849,1502849/1,F,No,BASPBUSMAN,FT,P42,20,5,L6,360,63.5,70.2,0,0
1502850,1502850/1,M,No,BAAAH,FT,P50,21,2,L6,295,65,65.83,1,0
1502861,1502861/1,F,No,BAPESC,FT,HUK,20,2,L6,220,56.75,60.23,0,0
